CORES;Data Aplicacao;Estabelecimento Executante;Vacina;Qdade
I;out/23;UAPS JOAO MEDEIROS;HEPATITE B;6
I;out/23;UAPS JOAO MEDEIROS;INFLUENZA (GRIPE);15
I;out/23;UAPS JOAO MEDEIROS;MENINGOCOCICA ACWY;1
I;out/23;UAPS JOAO MEDEIROS;MENINGOCOCO C;2
I;out/23;UAPS JOAO MEDEIROS;PENTAVALENTE;3
I;out/23;UAPS JOAO MEDEIROS;PNEUMOCOCICA 10-VALENTE;4
I;out/23;UAPS JOAO MEDEIROS;QUADRIVALENTE CONTRA O HPV;2
I;out/23;UAPS JOAO MEDEIROS;ROTAVIRUS;3
I;out/23;UAPS JOAO MEDEIROS;TETRA VIRAL;5
I;out/23;UAPS JOAO MEDEIROS;TRIPLICE (DTP);2
I;out/23;UAPS JOAO MEDEIROS;TRIPLICE VIRAL (VTV);6
I;out/23;UAPS LINEU JUCA;ANTIPOLIO (SABIN) VOP;1
I;out/23;UAPS LINEU JUCA;ANTIPOLIO INATIVADA VIP;2
I;out/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;1
I;out/23;UAPS LINEU JUCA;DTPA ACELULAR - ADULTO;2
I;out/23;UAPS LINEU JUCA;HEPATITE B;2
I;out/23;UAPS LINEU JUCA;INFLUENZA (GRIPE);7
I;out/23;UAPS LINEU JUCA;MENINGOCOCO C;1
I;out/23;UAPS LINEU JUCA;PENTAVALENTE;1
I;out/23;UAPS LINEU JUCA;QUADRIVALENTE CONTRA O HPV;4
I;out/23;UAPS LINEU JUCA;TRIPLICE VIRAL (VTV);1
I;out/23;UAPS MARIA APARECIDA;ANTIPOLIO (SABIN) VOP;3
I;out/23;UAPS MARIA APARECIDA;ANTIPOLIO INATIVADA VIP;3
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;1
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;3
I;out/23;UAPS MARIA APARECIDA;DUPLA ADULTO;2
I;out/23;UAPS MARIA APARECIDA;FEBRE AMARELA;12
I;out/23;UAPS MARIA APARECIDA;HEPATITE A;1
I;out/23;UAPS MARIA APARECIDA;HEPATITE B;2
I;out/23;UAPS MARIA APARECIDA;INFLUENZA (GRIPE);16
I;out/23;UAPS MARIA APARECIDA;MENINGOCOCICA ACWY;1
I;out/23;UAPS MARIA APARECIDA;MENINGOCOCO C;5
I;out/23;UAPS MARIA APARECIDA;PENTAVALENTE;4
I;out/23;UAPS MARIA APARECIDA;PNEUMOCOCICA 10-VALENTE;2
I;out/23;UAPS MARIA APARECIDA;QUADRIVALENTE CONTRA O HPV;4
I;out/23;UAPS MARIA APARECIDA;RAIVA EM CULTIVO CELULAR VERO;1
I;out/23;UAPS MARIA APARECIDA;ROTAVIRUS;2
I;out/23;UAPS MARIA APARECIDA;TETRA VIRAL;4
I;out/23;UAPS MARIA APARECIDA;TRIPLICE (DTP);3
I;out/23;UAPS MARIA CIRINO SOUZA;ANTIPOLIO INATIVADA VIP;1
I;out/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;1
I;out/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;2
I;out/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;out/23;UAPS MARIA CIRINO SOUZA;DTPA ACELULAR - ADULTO;1
I;out/23;UAPS MARIA CIRINO SOUZA;DUPLA ADULTO;9
I;out/23;UAPS MARIA CIRINO SOUZA;FEBRE AMARELA;11
I;out/23;UAPS MARIA CIRINO SOUZA;HEPATITE B;7
I;out/23;UAPS MARIA CIRINO SOUZA;INFLUENZA (GRIPE);9
I;out/23;UAPS MARIA CIRINO SOUZA;MENINGOCOCO C;3
I;out/23;UAPS MARIA CIRINO SOUZA;PENTAVALENTE;1
I;out/23;UAPS MARIA CIRINO SOUZA;PNEUMOCOCICA 10-VALENTE;2
I;out/23;UAPS MARIA CIRINO SOUZA;QUADRIVALENTE CONTRA O HPV;1
I;out/23;UAPS MARIA CIRINO SOUZA;TRIPLICE VIRAL (VTV);3
I;out/23;UAPS PAULO DE MELO;ANTIPOLIO (SABIN) VOP;1
I;out/23;UAPS PAULO DE MELO;ANTIPOLIO INATIVADA VIP;4
I;out/23;UAPS PAULO DE MELO;COVID-19-INATIVADA, SINOVAC/BUTANTAN (CORONAVAC);2
I;out/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;out/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;5
I;out/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;9
I;out/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;7
I;out/23;UAPS PAULO DE MELO;DUPLA ADULTO;4
I;out/23;UAPS PAULO DE MELO;FEBRE AMARELA;12
I;out/23;UAPS PAULO DE MELO;HEPATITE A;1
I;out/23;UAPS PAULO DE MELO;HEPATITE B;5
I;out/23;UAPS PAULO DE MELO;INFLUENZA (GRIPE);34
I;out/23;UAPS PAULO DE MELO;MENINGOCOCICA ACWY;3
I;out/23;UAPS PAULO DE MELO;MENINGOCOCO C;5
I;out/23;UAPS PAULO DE MELO;PENTAVALENTE;5
I;out/23;UAPS PAULO DE MELO;PNEUMOCOCICA 10-VALENTE;5
I;out/23;UAPS PAULO DE MELO;QUADRIVALENTE CONTRA O HPV;4
I;out/23;UAPS PAULO DE MELO;RAIVA EM CULTIVO CELULAR VERO;2
I;out/23;UAPS PAULO DE MELO;ROTAVIRUS;4
I;out/23;UAPS PAULO DE MELO;TRIPLICE (DTP);1
I;out/23;UAPS PAULO DE MELO;TRIPLICE VIRAL (VTV);6
I;out/23;UAPS PAULO DE MELO;VARICELA (ATENUADA);1
I;out/23;UAPS REBOUCAS MACAMBIRA;ANTIPOLIO (SABIN) VOP;2
I;out/23;UAPS REBOUCAS MACAMBIRA;ANTIPOLIO INATIVADA VIP;4
I;out/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;4
I;out/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;18
I;out/23;UAPS REBOUCAS MACAMBIRA;DTPA ACELULAR - ADULTO;1
I;out/23;UAPS REBOUCAS MACAMBIRA;DUPLA ADULTO;11
I;out/23;UAPS REBOUCAS MACAMBIRA;FEBRE AMARELA;33
I;out/23;UAPS REBOUCAS MACAMBIRA;HEPATITE A;1
I;out/23;UAPS REBOUCAS MACAMBIRA;HEPATITE B;13
I;out/23;UAPS REBOUCAS MACAMBIRA;INFLUENZA (GRIPE);36
I;out/23;UAPS REBOUCAS MACAMBIRA;MENINGOCOCICA ACWY;3
I;out/23;UAPS REBOUCAS MACAMBIRA;MENINGOCOCO C;4
I;out/23;UAPS REBOUCAS MACAMBIRA;PENTAVALENTE;6
I;out/23;UAPS REBOUCAS MACAMBIRA;PNEUMOCOCICA 10-VALENTE;5
I;out/23;UAPS REBOUCAS MACAMBIRA;QUADRIVALENTE CONTRA O HPV;10
I;out/23;UAPS REBOUCAS MACAMBIRA;ROTAVIRUS;3
I;out/23;UAPS REBOUCAS MACAMBIRA;TETRA VIRAL;1
I;out/23;UAPS REBOUCAS MACAMBIRA;TRIPLICE (DTP);2
I;out/23;UAPS REBOUCAS MACAMBIRA;TRIPLICE VIRAL (VTV);6
I;out/23;UAPS REBOUCAS MACAMBIRA;VARICELA (ATENUADA);2
I;out/23;UAPS VIRGILIO TAVORA;ANTIPOLIO (SABIN) VOP;2
I;out/23;UAPS VIRGILIO TAVORA;ANTIPOLIO INATIVADA VIP;6
I;out/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;out/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;4
I;out/23;UAPS VIRGILIO TAVORA;DUPLA ADULTO;2
I;out/23;UAPS VIRGILIO TAVORA;HEPATITE B;1
I;out/23;UAPS VIRGILIO TAVORA;INFLUENZA (GRIPE);22
I;out/23;UAPS VIRGILIO TAVORA;MENINGOCOCO C;5
I;out/23;UAPS VIRGILIO TAVORA;PENTAVALENTE;6
I;out/23;UAPS VIRGILIO TAVORA;PNEUMOCOCICA 10-VALENTE;8
I;out/23;UAPS VIRGILIO TAVORA;QUADRIVALENTE CONTRA O HPV;4
I;out/23;UAPS VIRGILIO TAVORA;RAIVA EM CULTIVO CELULAR VERO;1
I;out/23;UAPS VIRGILIO TAVORA;ROTAVIRUS;4
I;out/23;UAPS VIRGILIO TAVORA;TETRA VIRAL;2
I;out/23;UAPS VIRGILIO TAVORA;TRIPLICE (DTP);2
I;out/23;UAPS VIRGILIO TAVORA;TRIPLICE VIRAL (VTV);5
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;ANTIPOLIO INATIVADA VIP;2
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;3
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;8
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;DUPLA ADULTO;8
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;FEBRE AMARELA;7
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;HEPATITE A;1
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;HEPATITE B;9
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;INFLUENZA (GRIPE);12
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;MENINGOCOCO C;4
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;PENTAVALENTE;2
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;PNEUMOCOCICA 10-VALENTE;2
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;QUADRIVALENTE CONTRA O HPV;1
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;ROTAVIRUS;1
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;TRIPLICE (DTP);1
I;out/23;UAPS ZENIRTON PEREIRA DA SILVA;TRIPLICE VIRAL (VTV);8
I;out/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;2
I;out/23;UAPS 4 VARAS;FEBRE AMARELA;10
I;out/23;UAPS 4 VARAS;HEPATITE B;3
I;out/23;UAPS 4 VARAS;INFLUENZA (GRIPE);7
I;out/23;UAPS 4 VARAS;MENINGOCOCO C;1
I;out/23;UAPS AIRTON MONTE;ANTIPOLIO (SABIN) VOP;5
I;out/23;UAPS AIRTON MONTE;ANTIPOLIO INATIVADA VIP;5
I;out/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;7
I;out/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;6
I;out/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;2
I;out/23;UAPS AIRTON MONTE;DTPA ACELULAR - ADULTO;2
I;out/23;UAPS AIRTON MONTE;DUPLA ADULTO;15
I;out/23;UAPS AIRTON MONTE;HEPATITE A;3
I;out/23;UAPS AIRTON MONTE;HEPATITE B;12
I;out/23;UAPS AIRTON MONTE;INFLUENZA (GRIPE);20
I;out/23;UAPS AIRTON MONTE;MENINGOCOCICA ACWY;2
I;out/23;UAPS AIRTON MONTE;MENINGOCOCO C;3
I;out/23;UAPS AIRTON MONTE;PENTAVALENTE;8
I;out/23;UAPS AIRTON MONTE;PNEUMOCOCICA 10-VALENTE;4
I;out/23;UAPS AIRTON MONTE;QUADRIVALENTE CONTRA O HPV;4
I;out/23;UAPS AIRTON MONTE;ROTAVIRUS;3
I;out/23;UAPS AIRTON MONTE;TETRA VIRAL;4
I;out/23;UAPS AIRTON MONTE;TRIPLICE (DTP);4
I;out/23;UAPS AIRTON MONTE;TRIPLICE VIRAL (VTV);8
I;out/23;UAPS AIRTON MONTE;VARICELA (ATENUADA);1
I;out/23;UAPS CARLOS RIBEIRO;ANTIPOLIO (SABIN) VOP;1
I;out/23;UAPS CARLOS RIBEIRO;ANTIPOLIO INATIVADA VIP;4
I;out/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;3
I;out/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;8
I;out/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;2
I;out/23;UAPS CARLOS RIBEIRO;DTPA ACELULAR - ADULTO;1
I;out/23;UAPS CARLOS RIBEIRO;DUPLA ADULTO;11
I;out/23;UAPS CARLOS RIBEIRO;FEBRE AMARELA;17
I;out/23;UAPS CARLOS RIBEIRO;HEPATITE B;7
I;out/23;UAPS CARLOS RIBEIRO;INFLUENZA (GRIPE);75
I;out/23;UAPS CARLOS RIBEIRO;MENINGOCOCICA ACWY;2
I;out/23;UAPS CARLOS RIBEIRO;MENINGOCOCO C;6
I;out/23;UAPS CARLOS RIBEIRO;PENTAVALENTE;5
I;out/23;UAPS CARLOS RIBEIRO;PNEUMOCOCICA 10-VALENTE;4
I;out/23;UAPS CARLOS RIBEIRO;QUADRIVALENTE CONTRA O HPV;12
I;out/23;UAPS CARLOS RIBEIRO;RAIVA EM CULTIVO CELULAR VERO;2
I;out/23;UAPS CARLOS RIBEIRO;ROTAVIRUS;1
I;out/23;UAPS CARLOS RIBEIRO;TETRA VIRAL;1
I;out/23;UAPS CARLOS RIBEIRO;TRIPLICE (DTP);5
I;out/23;UAPS CARLOS RIBEIRO;TRIPLICE VIRAL (VTV);10
I;out/23;UAPS CARLOS RIBEIRO;VARICELA (ATENUADA);3
I;out/23;UAPS CASEMIRO FILHO;COVID-19-INATIVADA, SINOVAC/BUTANTAN (CORONAVAC);4
I;out/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;4
I;out/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;2
I;out/23;UAPS CASEMIRO FILHO;DUPLA ADULTO;3
I;out/23;UAPS CASEMIRO FILHO;HEPATITE B;8
I;out/23;UAPS CASEMIRO FILHO;INFLUENZA (GRIPE);18
I;out/23;UAPS CASEMIRO FILHO;MENINGOCOCICA ACWY;1
I;out/23;UAPS CASEMIRO FILHO;MENINGOCOCO C;2
I;out/23;UAPS CASEMIRO FILHO;PENTAVALENTE;1
I;out/23;UAPS CASEMIRO FILHO;QUADRIVALENTE CONTRA O HPV;6
I;out/23;UAPS CASEMIRO FILHO;TRIPLICE VIRAL (VTV);3
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;ANTIPOLIO (SABIN) VOP;2
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;ANTIPOLIO INATIVADA VIP;6
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;BCG;1
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;6
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;8
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;DTPA ACELULAR - ADULTO;1
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;DUPLA ADULTO;5
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;FEBRE AMARELA;3
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;HEPATITE A;1
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;HEPATITE B;10
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;INFLUENZA (GRIPE);38
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;MENINGOCOCICA ACWY;5
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;MENINGOCOCO C;8
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;PENTAVALENTE;6
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;PNEUMOCOCICA 10-VALENTE;6
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;QUADRIVALENTE CONTRA O HPV;7
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;ROTAVIRUS;1
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;TETRA VIRAL;4
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;TRIPLICE (DTP);4
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;TRIPLICE VIRAL (VTV);8
I;out/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;VARICELA (ATENUADA);1
I;out/23;UAPS FERNANDO FACANHA;ANTIPOLIO (SABIN) VOP;2
I;out/23;UAPS FERNANDO FACANHA;ANTIPOLIO INATIVADA VIP;8
I;out/23;UAPS FERNANDO FACANHA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS FERNANDO FACANHA;DTPA ACELULAR - ADULTO;3
I;out/23;UAPS FERNANDO FACANHA;DUPLA ADULTO;8
I;out/23;UAPS FERNANDO FACANHA;FEBRE AMARELA;19
I;out/23;UAPS FERNANDO FACANHA;HEPATITE B;8
I;out/23;UAPS FERNANDO FACANHA;INFLUENZA (GRIPE);15
I;out/23;UAPS FERNANDO FACANHA;MENINGOCOCICA ACWY;3
I;out/23;UAPS FERNANDO FACANHA;MENINGOCOCO C;4
I;out/23;UAPS FERNANDO FACANHA;PENTAVALENTE;8
I;out/23;UAPS FERNANDO FACANHA;PNEUMOCOCICA 10-VALENTE;5
I;out/23;UAPS FERNANDO FACANHA;QUADRIVALENTE CONTRA O HPV;3
I;out/23;UAPS FERNANDO FACANHA;RAIVA EM CULTIVO CELULAR VERO;1
I;out/23;UAPS FERNANDO FACANHA;ROTAVIRUS;5
I;out/23;UAPS FERNANDO FACANHA;TETRA VIRAL;1
I;out/23;UAPS FERNANDO FACANHA;TRIPLICE (DTP);2
I;out/23;UAPS FERNANDO FACANHA;TRIPLICE VIRAL (VTV);4
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;ANTIPOLIO (SABIN) VOP;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;ANTIPOLIO INATIVADA VIP;3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;BCG;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;4
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;DTPA ACELULAR - ADULTO;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;DUPLA ADULTO;6
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;FEBRE AMARELA;12
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;HEPATITE A;1
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;HEPATITE B;9
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;INFLUENZA (GRIPE);12
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;MENINGOCOCO C;7
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;PENTAVALENTE;3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;PNEUMOCOCICA 10-VALENTE;3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;QUADRIVALENTE CONTRA O HPV;5
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;ROTAVIRUS;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;TETRA VIRAL;2
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;TRIPLICE (DTP);3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;TRIPLICE VIRAL (VTV);3
I;out/23;UAPS FRANCISCO DOMINGOS DA SILVA;VARICELA (ATENUADA);2
I;out/23;UAPS GUIOMAR ARRUDA;ANTIPOLIO (SABIN) VOP;3
I;out/23;UAPS GUIOMAR ARRUDA;ANTIPOLIO INATIVADA VIP;3
I;out/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;4
I;out/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;3
I;out/23;UAPS GUIOMAR ARRUDA;DTPA ACELULAR - ADULTO;1
I;out/23;UAPS GUIOMAR ARRUDA;DUPLA ADULTO;4
I;out/23;UAPS GUIOMAR ARRUDA;HEPATITE A;1
I;out/23;UAPS GUIOMAR ARRUDA;HEPATITE B;5
I;out/23;UAPS GUIOMAR ARRUDA;INFLUENZA (GRIPE);17
I;out/23;UAPS GUIOMAR ARRUDA;MENINGOCOCICA ACWY;2
I;out/23;UAPS GUIOMAR ARRUDA;MENINGOCOCO C;4
I;out/23;UAPS GUIOMAR ARRUDA;PENTAVALENTE;5
I;out/23;UAPS GUIOMAR ARRUDA;PNEUMOCOCICA 10-VALENTE;3
I;out/23;UAPS GUIOMAR ARRUDA;QUADRIVALENTE CONTRA O HPV;6
I;out/23;UAPS GUIOMAR ARRUDA;RAIVA EM CULTIVO CELULAR VERO;1
I;out/23;UAPS GUIOMAR ARRUDA;ROTAVIRUS;1
I;out/23;UAPS GUIOMAR ARRUDA;TETRA VIRAL;4
I;out/23;UAPS GUIOMAR ARRUDA;TRIPLICE (DTP);3
I;out/23;UAPS JOAO MEDEIROS;ANTIPOLIO (SABIN) VOP;3
I;out/23;UAPS JOAO MEDEIROS;ANTIPOLIO INATIVADA VIP;4
I;out/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;4
I;out/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;3
I;out/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;out/23;UAPS JOAO MEDEIROS;DTPA ACELULAR - ADULTO;3
I;out/23;UAPS JOAO MEDEIROS;DUPLA ADULTO;5
I;out/23;UAPS JOAO MEDEIROS;HEPATITE B;4
I;out/23;UAPS JOAO MEDEIROS;INFLUENZA (GRIPE);18
I;out/23;UAPS JOAO MEDEIROS;MENINGOCOCICA ACWY;1
I;out/23;UAPS JOAO MEDEIROS;MENINGOCOCO C;3
I;out/23;UAPS JOAO MEDEIROS;PENTAVALENTE;8
I;out/23;UAPS JOAO MEDEIROS;PNEUMOCOCICA 10-VALENTE;3
I;out/23;UAPS JOAO MEDEIROS;QUADRIVALENTE CONTRA O HPV;1
I;out/23;UAPS JOAO MEDEIROS;RAIVA EM CULTIVO CELULAR VERO;2
I;out/23;UAPS JOAO MEDEIROS;ROTAVIRUS;1
I;out/23;UAPS JOAO MEDEIROS;TRIPLICE (DTP);3
I;out/23;UAPS JOAO MEDEIROS;TRIPLICE VIRAL (VTV);7
I;out/23;UAPS JOAO MEDEIROS;VARICELA (ATENUADA);3
I;out/23;UAPS LINEU JUCA;ANTIPOLIO (SABIN) VOP;1
I;out/23;UAPS LINEU JUCA;ANTIPOLIO INATIVADA VIP;4
I;out/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;1
I;out/23;UAPS LINEU JUCA;DUPLA ADULTO;2
I;out/23;UAPS LINEU JUCA;FEBRE AMARELA;17
I;out/23;UAPS LINEU JUCA;HEPATITE B;4
I;out/23;UAPS LINEU JUCA;INFLUENZA (GRIPE);2
I;out/23;UAPS LINEU JUCA;MENINGOCOCICA ACWY;1
I;out/23;UAPS LINEU JUCA;MENINGOCOCO C;5
I;out/23;UAPS LINEU JUCA;PENTAVALENTE;4
I;out/23;UAPS LINEU JUCA;PNEUMOCOCICA 10-VALENTE;5
I;out/23;UAPS LINEU JUCA;ROTAVIRUS;4
I;out/23;UAPS LINEU JUCA;TETRA VIRAL;1
I;out/23;UAPS LINEU JUCA;TRIPLICE VIRAL (VTV);2
I;out/23;UAPS MARIA APARECIDA;ANTIPOLIO (SABIN) VOP;4
I;out/23;UAPS MARIA APARECIDA;ANTIPOLIO INATIVADA VIP;3
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;out/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;out/23;UAPS MARIA APARECIDA;DUPLA ADULTO;4
I;out/23;UAPS MARIA APARECIDA;HEPATITE B;3
I;out/23;UAPS MARIA APARECIDA;INFLUENZA (GRIPE);20
I;out/23;UAPS MARIA APARECIDA;MENINGOCOCICA ACWY;1
I;out/23;UAPS MARIA APARECIDA;MENINGOCOCO C;2
I;out/23;UAPS MARIA APARECIDA;PENTAVALENTE;3
I;out/23;UAPS MARIA APARECIDA;PNEUMOCOCICA 10-VALENTE;4
I;out/23;UAPS MARIA APARECIDA;QUADRIVALENTE CONTRA O HPV;5
I;out/23;UAPS MARIA APARECIDA;ROTAVIRUS;3
I;out/23;UAPS MARIA APARECIDA;TETRA VIRAL;3
I;out/23;UAPS MARIA APARECIDA;TRIPLICE (DTP);3
I;out/23;UAPS MARIA CIRINO SOUZA;ANTIPOLIO (SABIN) VOP;1
I;out/23;UAPS MARIA CIRINO SOUZA;ANTIPOLIO INATIVADA VIP;1
I;out/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;4
I;out/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;5
